影像号,读者,split,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-0030A52322,R1,A,4779,0,0,0.0,0.0,-2.655142307281494,3.724167823791504
IMG-D7D236D533,R1,A,16332,0,0,0.0,0.0,-2.0769855976104736,3.994211196899414
IMG-7CA9BEBE72,R1,A,9703,0,0,0.0,0.0,-3.411174774169922,6.964025497436523
IMG-ADC448E361,R1,B,3689,0,0,0.0,0.0,-2.5580081939697266,5.400397300720215
IMG-C7D5EC274A,R1,A,1516,0,0,0.0,0.0,-3.696793556213379,2.9901318550109863
IMG-0A716D9DE8,R1,A,2218,0,0,0.0,0.0,-2.8662030696868896,6.577598571777344
IMG-D5E58F8859,R1,A,6316,0,0,0.0,0.0,-3.5172626972198486,6.067292213439941
IMG-B4DE82A20A,R1,A,7878,0,0,0.0,0.0,-3.592350482940674,5.070147514343262
IMG-372E6F7819,R1,A,3764,0,0,0.0,0.0,-3.1087050437927246,4.95167350769043
IMG-83E16F4943,R1,A,8989,0,0,0.0,0.0,-3.1624433994293213,6.878659725189209
IMG-7328CD0240,R1,A,2151,0,0,0.0,0.0,-3.8399174213409424,5.128916263580322
IMG-39B37EA5AA,R1,B,9140,0,0,0.0,0.0,-4.335196495056152,6.1651225090026855
IMG-B4A893F49A,R1,B,1958,0,0,0.0,0.0,-2.664891242980957,6.704768180847168
